Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
31-07-2022,"Smith, Miller and Fleming",Transaction Account,Financial,Transfers,Appear owner join have test again.,575.69,,42532.86,Shoulder power current worker.
14-07-2022,"Martin, Curtis and Bond",Transaction Account,Income,Salary,Paper eat since leave.,,702.16,45421.55,Meet design agent country.
09-07-2022,"Logan, Stephens and Gutierrez",Transaction Account,Education,Stationery,Here consumer performance entire home religious.,628.18,,16669.57,Report become chance culture.
06-09-2022,"Smith, Rangel and Morris",Transaction Account,Gifts & Donations,Gifts,Big place seven.,201.36,,32864.86,They all visit single hold century.
12-01-2023,Keith PLC,Transaction Account,Home,Furnishings,Maintain trouble individual when often.,763.89,,41940.29,Arrive upon crime by color can challenge.
11-08-2022,Yu-Ramirez,Transaction Account,Technology,Hardware,Off second start stage sell down.,163.74,,35610.98,Few news race experience off last.
03-08-2022,Gomez-Carroll,Transaction Account,Travel,Travel Entertainment,Whether like note.,244.04,,22360.96,Give central poor language staff beautiful.
13-03-2023,"Roberts, Thomas and Clark",Transaction Account,Transportation,Parking & Tolls,Knowledge defense cause woman create sense.,174.02,,47240.93,Year man stay until minute.
18-06-2022,Schmidt PLC,Transaction Account,Financial,Cash Withdrawals,Most life place range make assume.,607.04,,23228.92,Argue bill assume turn of might.
11-05-2023,Reyes-Jones,Transaction Account,Education,Stationery,Adult others painting standard society mind against.,571.3,,20457.27,Dog truth attention bill.
14-10-2022,"Wilson, Harrison and Robinson",Transaction Account,Services,Government,Future knowledge interesting director.,755.16,,32769.31,Role image boy community fund later development.
24-04-2023,Anderson PLC,Transaction Account,Financial,Cash Withdrawals,Year explain just likely.,601.96,,46646.95,Born test threat law baby drop.
11-10-2022,Johnson and Sons,Transaction Account,Services,Marketing,Night mention person reach.,48.08,,21966.9,State defense two.
17-10-2022,Adams LLC,Transaction Account,Personal,Clothing,Dark stop certainly language side company family.,449.64,,35248.02,Cup perform maintain every.
25-05-2023,Reilly Group,Transaction Account,Personal,Clothing,Nation but stage traditional unit alone everybody.,412.25,,44673.89,Direction help production time billion over interesting.
27-02-2023,Thomas PLC,Transaction Account,Leisure,Games,Society fly administration dream race.,629.55,,22776.18,Admit close truth.
08-12-2022,Walsh-Phillips,Transaction Account,Food & Drink,Restaurants,Four no two structure case computer later.,39.69,,19123.19,Outside value film region partner participant check.
06-01-2023,Morgan-Gross,Transaction Account,Education,Stationery,Figure along reveal place note project study.,73.72,,11207.86,Management many fear light often charge throughout.
10-03-2023,"Gonzalez, Long and Anderson",Transaction Account,Personal,Other Personal Expenses,Increase certain according bed both main.,70.82,,30035.05,Them PM both of third our.
30-03-2023,Anderson Inc,Transaction Account,Gifts & Donations,Gifts,Myself already time by president.,404.05,,23026.76,Catch third us.
29-07-2022,Russo PLC,Transaction Account,Technology,Hardware,As quality partner offer see different huge.,568.37,,35208.88,Candidate bank contain during.
30-09-2022,Mercado-Morrison,Transaction Account,Education,Stationery,Contain world back available.,293.0,,40110.26,Save education yeah growth nature easy any adult.
25-10-2022,Nunez Inc,Transaction Account,Financial,Transfers,Sea fund might side effort.,587.64,,39122.63,Free smile where.
03-11-2022,"Smith, Beck and Taylor",Transaction Account,Services,Marketing,Industry year hotel send military give anyone.,645.83,,40089.26,Someone prove perhaps often.
05-06-2022,"Roberts, Harrison and Cervantes",Transaction Account,Health & Medical,Other Health Expenses,Indeed short any north turn draw now.,752.09,,21956.25,Set teacher decision hold news attorney.
11-11-2022,"Williams, Blair and Lewis",Transaction Account,Leisure,Fun,Find instead your central but court common.,383.04,,17629.86,Price himself pull moment cover add bad.
10-05-2023,"Murray, Walton and Hoffman",Transaction Account,Leisure,Dance,Movement apply voice.,165.87,,34038.86,Over wait note information teacher hotel.
20-10-2022,Ross-Sanders,Transaction Account,Financial,Transfers,Environmental throughout marriage time their place list.,477.13,,13949.27,Another argue like technology.
11-03-2023,Payne LLC,Transaction Account,Income,Salary,Son help best be country else think market.,,801.8,16217.0,Article determine raise run live.
15-10-2022,"Hurley, Nguyen and Huffman",Transaction Account,Gifts & Donations,Gifts,Collection participant deep white best upon.,282.13,,39118.7,Talk south and go material wrong why.
01-09-2022,"Thomas, Neal and Cooper",Transaction Account,Leisure,Games,Country ten play off game candidate.,54.92,,30692.17,Sign student water section develop agreement teach.
30-06-2022,Tate-Simmons,Transaction Account,Home,Furnishings,Live phone view evidence four camera.,690.02,,12101.8,White Congress produce people until occur.
10-07-2022,"Moore, Reyes and Gibbs",Transaction Account,Personal,Clothing,Deal nearly nice budget beat recognize.,198.56,,41690.3,Order use color difficult eight remain two.
19-03-2023,Le Inc,Transaction Account,Services,Marketing,Agency mean word own.,138.72,,27380.68,Task hope certainly least.
19-10-2022,"Taylor, Brown and Erickson",Transaction Account,Health & Medical,Eyes,Woman four course space make.,546.51,,41464.88,Home man machine indicate either.
26-07-2022,Cross Ltd,Transaction Account,Technology,Online Services,Positive security local fast actually.,617.81,,29777.95,Rule test doctor collection section need a true.
30-12-2022,"Whitney, Wood and Williams",Transaction Account,Insurance,Financial Insurance,Do whose young.,606.05,,18246.14,Shake cut carry leave none choose.
12-03-2023,"Mcmahon, Preston and Sweeney",Transaction Account,Income,Salary,Treat receive question of necessary alone.,,533.07,48225.42,Little someone soldier change investment me statement.
13-09-2022,"Lara, Romero and Barnes",Transaction Account,Transportation,Parking & Tolls,Physical understand money stock direction however.,791.12,,45802.02,Allow wish make hard where.
19-10-2022,Reeves-Wise,Transaction Account,Education,Stationery,Probably pay remain page writer off.,334.28,,46452.61,Role western reality view little often involve.
01-12-2022,Rodriguez PLC,Transaction Account,Insurance,Financial Insurance,Skin tonight white evening tend scientist notice.,313.42,,11899.76,Whether describe world war inside.
26-09-2022,"Ramirez, Spears and Mejia",Transaction Account,Income,Salary,Method note hand especially lose national.,,984.19,30503.68,Yes do better the.
25-10-2022,Flores-Lin,Transaction Account,Leisure,Dance,Produce society understand not.,308.41,,17685.83,Discussion sometimes summer participant.
10-11-2022,Palmer-Williams,Transaction Account,Financial,Direct Debits,Concern experience charge husband.,320.47,,22754.48,Common federal although.
28-05-2022,Pacheco-Nguyen,Transaction Account,Income,Salary,Debate Mrs huge leave account part someone bed.,,541.53,41982.49,Standard cost interview price.
30-04-2023,"Carson, Jordan and Wilson",Transaction Account,Home,Furnishings,Trade defense trouble mean east.,346.68,,43471.08,Group sing book fire where onto.
03-12-2022,Hill-Price,Transaction Account,Insurance,Financial Insurance,Argue leave politics population only.,410.09,,15059.52,Fear product full.
18-03-2023,"Price, Blanchard and Kelley",Transaction Account,Technology,Software,Six career old affect subject throw somebody.,797.61,,22377.6,Public sing this opportunity party over.
07-11-2022,Le Inc,Transaction Account,Leisure,Movies,Almost technology which newspaper cause worker sure support.,401.09,,10410.24,Several operation within bit important when.
11-09-2022,Willis LLC,Transaction Account,Services,Government,All reason line me support conference history.,378.23,,25138.51,Clearly certainly senior exactly.
30-03-2023,Cameron PLC,Transaction Account,Travel,Accommodation,Chance culture value hand may why.,377.56,,39410.62,Several suddenly crime night rise force family.
09-02-2023,Austin PLC,Transaction Account,Food & Drink,Groceries,What character present laugh occur write government everyone.,413.65,,10054.25,Probably pull although force.
08-04-2023,Elliott Inc,Transaction Account,Services,Marketing,Single real back sell your.,667.61,,38410.61,Too kind board who television none.
25-07-2022,Mitchell PLC,Transaction Account,Education,Stationery,Lawyer five agree.,209.64,,28448.65,Option listen particular maintain around outside star.
06-11-2022,"Johnston, Henry and Morris",Transaction Account,Technology,Hardware,Smile appear parent yourself paper my.,392.93,,37968.35,Near call represent strategy song maybe.
22-11-2022,Baker-Jenkins,Transaction Account,Food & Drink,Restaurants,Cost quality oil however visit sea.,545.79,,20121.18,Difficult party must leg.
12-10-2022,"Gross, Santos and Choi",Transaction Account,Leisure,Dance,Actually me require.,436.14,,35000.52,Through off rise strong respond sound easy.
27-03-2023,"Mccullough, Perry and Conway",Transaction Account,Leisure,Games,Source real make sense safe picture.,375.52,,24931.77,Station modern reveal kind environmental again.
10-01-2023,"Mosley, Price and Whitaker",Transaction Account,Utilities,Pay TV,Western likely general own argue respond place.,692.44,,23482.06,Across interview little this.
12-10-2022,Terrell Group,Transaction Account,Home,Furnishings,Statement record election even near military.,645.94,,40988.12,Service billion say read strong season.
31-05-2022,Castillo PLC,Transaction Account,Leisure,Movies,Data subject machine report always card as.,411.09,,16281.19,Respond nature hand suggest her better protect.
03-01-2023,Mitchell LLC,Transaction Account,Health & Medical,Pharmacies,Piece central article manage pass popular.,327.79,,16829.43,Parent letter notice someone I.
14-07-2022,"Foster, Crosby and Williams",Transaction Account,Health & Medical,Pharmacies,At need ever.,540.7,,47935.2,Too perform among state.
15-05-2023,"Torres, Ramirez and Alvarez",Transaction Account,Home,Furnishings,Suggest forget better public interest.,560.3,,49364.35,Teacher nice remain industry.
24-06-2022,Johnson-Jackson,Transaction Account,Health & Medical,Pharmacies,Check staff simply open scientist hour.,2.7,,32750.17,Difference join political.
20-10-2022,"Holt, Allen and Erickson",Transaction Account,Transportation,Parking & Tolls,Push center thank fine.,125.48,,30261.49,Across lose central shoulder.
10-08-2022,Thompson-Johnson,Transaction Account,Personal,Other Personal Expenses,Rather per without game similar remember reach down.,789.27,,14868.37,Person attorney only.
24-06-2022,Potter Group,Transaction Account,Insurance,Financial Insurance,By mind which discuss.,727.41,,49106.95,Create line learn expert next.
05-04-2023,Price Inc,Transaction Account,Personal,Clothing,Claim save treatment smile what.,317.24,,44620.72,Professor scene time.
23-09-2022,Brewer Ltd,Transaction Account,Food & Drink,Other Food Expenses,Market power particularly executive take put.,499.66,,24908.62,Top care she theory garden agree.
31-05-2022,King-Mayer,Transaction Account,Financial,Direct Debits,Campaign understand his personal grow employee song.,643.12,,30929.44,Will area time group kind ever bank.
18-12-2022,"Johnson, Chapman and Nguyen",Transaction Account,Food & Drink,Groceries,Name cause than decade bad score at.,345.97,,37753.53,Another participant trouble listen then.
03-04-2023,"Berg, Harris and Harvey",Transaction Account,Technology,Hardware,Left author plant rule cup others room.,18.81,,13923.14,Teacher box know serve community southern.
26-04-2023,Wolf PLC,Transaction Account,Technology,Software,Inside order may quality administration industry.,288.86,,38659.13,Rather enter senior ever.
20-07-2022,Franklin PLC,Transaction Account,Home,Furnishings,Himself Mrs line no.,528.89,,13083.96,Stage appear method professor exist there world.
03-12-2022,Maxwell PLC,Transaction Account,Leisure,Music,Daughter thus contain.,12.72,,39431.28,Treatment door may.
01-01-2023,"Wilkins, Clark and Arnold",Transaction Account,Technology,Hardware,Near clearly mean commercial arm what.,352.79,,22622.09,Market leave else.
17-12-2022,Salazar LLC,Transaction Account,Income,Salary,Perform worry mention around report.,,665.57,11738.08,Include wrong right.
